"cc_lv","cc_av","pav_lv","pav_av","av_lv","av_av","nc","nv","g","p","phi","l","k"
1500,757,3084.35000000002,2057.41785714287,5986,6056,24,1500,2,0.5,0,1,8
1500,773,2940.64999999998,2100.90357142858,5908,6184,24,1500,2,0.5,0,1,8
1500,772,2983.39999999997,2098.18571428572,6088,6176,24,1500,2,0.5,0,1,8
1500,754,3089.30000000001,2049.26428571429,6008,6032,24,1500,2,0.5,0,1,8
1500,776,2736.05714285715,2109.05714285715,6156,6208,24,1500,2,0.5,0,1,8
1500,780,2990.99999999997,2119.92857142858,6120,6240,24,1500,2,0.5,0,1,8
1500,1500,2949.19999999997,3093.80000000002,5944,6028,24,1500,2,0.5,0,1,8
1500,1500,2959.64999999998,3088.85000000001,5988,6006,24,1500,2,0.5,0,1,8
1500,755,3085.25000000002,2051.98214285715,5990,6040,24,1500,2,0.5,0,1,8
1500,759,3083.45000000002,2062.85357142858,5982,6072,24,1500,2,0.5,0,1,8
1500,781,3101.45000000002,2122.64642857144,6062,6248,24,1500,2,0.5,0,1,8
1500,766,3094.70000000001,2081.87857142858,6032,6128,24,1500,2,0.5,0,1,8
1500,773,3097.85000000002,2100.90357142858,6046,6184,24,1500,2,0.5,0,1,8
1500,754,2701.01428571429,2049.26428571429,6024,6032,24,1500,2,0.5,0,1,8
1500,756,2704.20000000001,2054.70000000001,6036,6048,24,1500,2,0.5,0,1,8
1500,764,3081.20000000002,2076.44285714287,5972,6112,24,1500,2,0.5,0,1,8
1500,768,2945.39999999998,2087.31428571429,5928,6144,24,1500,2,0.5,0,1,8
1500,761,3092.45000000002,2068.28928571429,6022,6088,24,1500,2,0.5,0,1,8
1500,756,3125.00000000005,2054.70000000001,6000,6048,24,1500,2,0.5,0,1,8
1500,773,2731.27857142858,2100.90357142858,6138,6184,24,1500,2,0.5,0,1,8
1500,1500,2689.86428571429,3088.85000000002,5982,6006,24,1500,2,0.5,0,1,8
1500,1500,2680.30714285715,2953.94999999998,5946,5964,24,1500,2,0.5,0,1,8
1500,761,3125.00000000005,2068.28928571429,6000,6088,24,1500,2,0.5,0,1,8
1500,1500,2940.64999999998,3077.15000000002,5908,5954,24,1500,2,0.5,0,1,8
1500,768,2723.31428571429,2087.31428571429,6108,6144,24,1500,2,0.5,0,1,8
1500,1500,2678.71428571429,2952.99999999998,5940,5960,24,1500,2,0.5,0,1,8
1500,784,2994.79999999997,2130.80000000001,6136,6272,24,1500,2,0.5,0,1,8
1500,771,2982.44999999997,2095.46785714287,6084,6168,24,1500,2,0.5,0,1,8
1500,764,2975.79999999997,2076.44285714287,6056,6112,24,1500,2,0.5,0,1,8
1500,761,3125.00000000005,2068.28928571429,6000,6088,24,1500,2,0.5,0,1,8
1500,754,3085.70000000001,2049.26428571429,5992,6032,24,1500,2,0.5,0,1,8
1500,757,3125.00000000005,2057.41785714287,6000,6056,24,1500,2,0.5,0,1,8
1500,766,2977.69999999998,2081.87857142858,6064,6128,24,1500,2,0.5,0,1,8
1500,761,3092.45000000001,2068.28928571429,6022,6088,24,1500,2,0.5,0,1,8
1500,774,3098.30000000002,2103.62142857144,6048,6192,24,1500,2,0.5,0,1,8
1500,1500,2669.15714285715,3080.30000000002,5904,5968,24,1500,2,0.5,0,1,8
1500,1500,2677.12142857144,2677.12142857144,5934,5934,24,1500,2,0.5,0,1,8
1500,770,2726.50000000001,2092.75000000001,6120,6160,24,1500,2,0.5,0,1,8
1500,751,3125.00000000005,2041.11071428572,6000,6008,24,1500,2,0.5,0,1,8
1500,755,2702.60714285715,2051.98214285715,6030,6040,24,1500,2,0.5,0,1,8
1500,761,3082.55000000001,2068.28928571429,5978,6088,24,1500,2,0.5,0,1,8
1500,774,3125.00000000005,2103.62142857144,6000,6192,24,1500,2,0.5,0,1,8
1500,800,3110.00000000002,2174.28571428572,6100,6400,24,1500,2,0.5,0,1,8
1500,757,2705.79285714287,2057.41785714287,6042,6056,24,1500,2,0.5,0,1,8
1500,1500,2665.97142857144,2945.39999999998,5892,5928,24,1500,2,0.5,0,1,8
1500,764,3093.80000000002,2076.44285714287,6028,6112,24,1500,2,0.5,0,1,8
1500,1500,2640.48571428572,3102.80000000001,5796,6068,24,1500,2,0.5,0,1,8
1500,759,3083.45000000002,2062.85357142858,5982,6072,24,1500,2,0.5,0,1,8
1500,754,2701.01428571429,2049.26428571429,6024,6032,24,1500,2,0.5,0,1,8
1500,762,2713.75714285715,2071.00714285715,6072,6096,24,1500,2,0.5,0,1,8
1500,760,2710.57142857144,2065.57142857144,6060,6080,24,1500,2,0.5,0,1,8
1500,1500,2685.08571428572,2685.08571428572,5964,5964,24,1500,2,0.5,0,1,8
1500,773,2984.34999999997,2100.90357142858,6092,6184,24,1500,2,0.5,0,1,8
